3626 ; capteur   2 ; 73.44 ; mm
3638 ; capteur   3 ; 60.56 ; mm
3650 ; capteur   4 ; 67.76 ; mm
3660 ; temperature ; 28.42 ; °C
3674 ; capteur   1 ; 68.40 ; mm
3685 ; capteur   2 ; 73.22 ; mm
3698 ; capteur   3 ; 60.96 ; mm
3710 ; capteur   4 ; 66.16 ; mm
3720 ; temperature ; 28.42 ; °C
3734 ; capteur   1 ; 68.56 ; mm
3746 ; capteur   2 ; 73.30 ; mm
3758 ; capteur   3 ; 60.80 ; mm
3770 ; capteur   4 ; 66.92 ; mm
3780 ; temperature ; 28.42 ; °C
3794 ; capteur   1 ; 68.28 ; mm
3805 ; capteur   2 ; 73.62 ; mm
3818 ; capteur   3 ; 60.36 ; mm
3830 ; capteur   4 ; 67.18 ; mm
3840 ; temperature ; 28.42 ; °C
3854 ; capteur   1 ; 68.28 ; mm
3866 ; capteur   2 ; 73.46 ; mm
3878 ; capteur   3 ; 60.72 ; mm
3890 ; capteur   4 ; 67.82 ; mm
3900 ; temperature ; 28.34 ; °C
3914 ; capteur   1 ; 68.00 ; mm
3925 ; capteur   2 ; 73.26 ; mm
3937 ; capteur   3 ; 60.38 ; mm
3950 ; capteur   4 ; 67.28 ; mm
3960 ; temperature ; 28.34 ; °C
3974 ; capteur   1 ; 68.80 ; mm
3986 ; capteur   2 ; 72.88 ; mm
3998 ; capteur   3 ; 59.90 ; mm
4010 ; capteur   4 ; 67.96 ; mm
4020 ; temperature ; 28.25 ; °C
4034 ; capteur   1 ; 67.62 ; mm
4046 ; capteur   2 ; 73.40 ; mm
4057 ; capteur   3 ; 60.34 ; mm
4070 ; capteur   4 ; 67.42 ; mm
4080 ; temperature ; 28.17 ; °C
4094 ; capteur   1 ; 67.42 ; mm
4106 ; capteur   2 ; 72.46 ; mm
4118 ; capteur   3 ; 60.54 ; mm
4130 ; capteur   4 ; 66.24 ; mm
4140 ; temperature ; 28.09 ; °C
4154 ; capteur   1 ; 68.20 ; mm
4166 ; capteur   2 ; 73.04 ; mm
4177 ; capteur   3 ; 61.06 ; mm
4190 ; capteur   4 ; 67.24 ; mm
4200 ; temperature ; 28.00 ; °C
4214 ; capteur   1 ; 68.38 ; mm
4226 ; capteur   2 ; 73.62 ; mm
4238 ; capteur   3 ; 61.08 ; mm
4250 ; capteur   4 ; 67.76 ; mm
4260 ; temperature ; 28.00 ; °C
4274 ; capteur   1 ; 67.82 ; mm
4286 ; capteur   2 ; 73.18 ; mm
4297 ; capteur   3 ; 60.24 ; mm
4310 ; capteur   4 ; 67.30 ; mm
4320 ; temperature ; 27.92 ; °C
4334 ; capteur   1 ; 68.46 ; mm
4346 ; capteur   2 ; 72.96 ; mm
4358 ; capteur   3 ; 60.10 ; mm
4370 ; capteur   4 ; 67.44 ; mm
4380 ; temperature ; 27.84 ; °C
4394 ; capteur   1 ; 68.08 ; mm
4406 ; capteur   2 ; 73.40 ; mm
4417 ; capteur   3 ; 60.26 ; mm
4429 ; capteur   4 ; 66.90 ; mm
4440 ; temperature ; 27.75 ; °C
4454 ; capteur   1 ; 67.98 ; mm
4466 ; capteur   2 ; 72.96 ; mm
4478 ; capteur   3 ; 60.78 ; mm
4490 ; capteur   4 ; 66.22 ; mm
4500 ; temperature ; 27.67 ; °C
4514 ; capteur   1 ; 67.54 ; mm
4526 ; capteur   2 ; 73.76 ; mm
4538 ; capteur   3 ; 60.58 ; mm
4549 ; capteur   4 ; 67.28 ; mm
4560 ; temperature ; 27.59 ; °C
4574 ; capteur   1 ; 67.88 ; mm
4586 ; capteur   2 ; 73.32 ; mm
4598 ; capteur   3 ; 60.78 ; mm
4610 ; capteur   4 ; 66.84 ; mm
4620 ; temperature ; 27.50 ; °C
4634 ; capteur   1 ; 68.36 ; mm
4646 ; capteur   2 ; 73.34 ; mm
4658 ; capteur   3 ; 61.32 ; mm
4669 ; capteur   4 ; 66.66 ; mm
4680 ; temperature ; 27.42 ; °C
4694 ; capteur   1 ; 67.24 ; mm
4706 ; capteur   2 ; 74.28 ; mm
4718 ; capteur   3 ; 60.62 ; mm
4730 ; capteur   4 ; 66.80 ; mm
4740 ; temperature ; 27.34 ; °C
4754 ; capteur   1 ; 68.22 ; mm
4766 ; capteur   2 ; 72.94 ; mm
4778 ; capteur   3 ; 60.54 ; mm
4789 ; capteur   4 ; 67.52 ; mm
4800 ; temperature ; 27.34 ; °C
4813 ; capteur   1 ; 67.00 ; mm
4826 ; capteur   2 ; 73.18 ; mm
4838 ; capteur   3 ; 60.76 ; mm
4850 ; capteur   4 ; 66.74 ; mm
4860 ; temperature ; 27.25 ; °C
4874 ; capteur   1 ; 67.92 ; mm
4886 ; capteur   2 ; 72.50 ; mm
4898 ; capteur   3 ; 59.78 ; mm
4909 ; capteur   4 ; 67.28 ; mm
4920 ; temperature ; 27.17 ; °C
4933 ; capteur   1 ; 68.04 ; mm
4946 ; capteur   2 ; 72.82 ; mm
4958 ; capteur   3 ; 59.10 ; mm
4970 ; capteur   4 ; 65.66 ; mm
4980 ; temperature ; 27.09 ; °C
4994 ; capteur   1 ; 66.26 ; mm
5006 ; capteur   2 ; 72.98 ; mm
5018 ; capteur   3 ; 60.16 ; mm
5029 ; capteur   4 ; 66.18 ; mm
5040 ; temperature ; 27.09 ; °C
5053 ; capteur   1 ; 67.24 ; mm
5066 ; capteur   2 ; 73.58 ; mm
5078 ; capteur   3 ; 59.42 ; mm
5090 ; capteur   4 ; 66.38 ; mm
5100 ; temperature ; 27.01 ; °C
